Seed,ありの解,ありの解2,ありをなし,なしの解,なしの解をアリ,なしの解をアリ2
0,69.94299999999996,28.220999999999968,98.36899999999959,98.36899999999959,69.94299999999996,28.220999999999968
0,92.71899999999971,27.733999999999998,120.8319999999999,121.993,89.06499999999983,32.141999999999996
0,105.05099999999962,19.23499999999995,125.38100000000018,130.84000000000012,97.37199999999963,32.383
0,113.68399999999968,18.844999999999963,134.19300000000018,136.122,117.23499999999993,17.826999999999963
1,51.245999999999945,51.016999999999975,80.25000000000004,80.25000000000004,51.245999999999945,51.016999999999975
1,72.944,45.85099999999999,102.99399999999963,102.99399999999963,72.944,45.85099999999999
1,90.09399999999985,28.80699999999995,109.54899999999974,108.63799999999952,88.04599999999962,30.737999999999964
1,98.9679999999996,21.523999999999955,112.9279999999997,112.69599999999961,93.03999999999974,29.861999999999988
2,39.35899999999995,67.323,89.02599999999981,89.02599999999981,39.35899999999995,67.323
2,62.20799999999996,62.18900000000003,110.21299999999967,110.21299999999967,62.20799999999996,62.18900000000003
2,73.95400000000004,48.61699999999982,111.70499999999952,118.6959999999997,71.31700000000012,60.57000000000001
2,85.15599999999988,47.33799999999987,122.58899999999997,122.61,74.4029999999999,61.272
3,31.377999999999968,106.54399999999958,49.16999999999991,91.62699999999973,24.223999999999933,87.59999999999975
3,58.53499999999986,80.00999999999995,121.07500000000009,119.03999999999996,55.67299999999996,80.93299999999986
3,70.59600000000006,67.87600000000018,124.3650000000001,127.87600000000002,64.51899999999996,80.22199999999984
3,79.1069999999999,60.31099999999989,127.33800000000012,130.18200000000016,67.46299999999997,79.89699999999984
4,43.4359999999999,65.36900000000003,98.04099999999951,98.1469999999996,39.58799999999989,69.32900000000001
4,65.66499999999992,62.51600000000003,118.33099999999999,121.00299999999994,64.603,65.18600000000004
4,86.4489999999997,45.22599999999986,126.33700000000012,127.51099999999995,71.44599999999998,64.76199999999994
4,96.14999999999952,38.52999999999992,128.87499999999997,132.6960000000001,93.12999999999973,44.95499999999985
5,62.489000000000026,35.19200000000002,90.36099999999976,90.36099999999976,62.489000000000026,35.19200000000002
5,86.50699999999956,35.30099999999999,113.19299999999978,113.19299999999978,86.50699999999956,35.30099999999999
5,100.52099999999979,23.628999999999966,119.45599999999993,121.27099999999984,93.71599999999981,35.797000000000004
5,110.0679999999998,17.11899999999996,123.204,127.32400000000007,109.8619999999998,22.67799999999995
6,56.97899999999992,48.272999999999946,98.09799999999974,98.09799999999974,56.97899999999992,48.272999999999946
6,81.36299999999989,43.897,118.98499999999984,118.98499999999984,81.36299999999989,43.897
6,97.35699999999964,30.11999999999995,123.87100000000005,126.35500000000005,88.09399999999987,43.2479999999999
6,105.48299999999973,23.90299999999994,126.42500000000003,130.5010000000001,92.38599999999958,41.891999999999946
7,56.72699999999994,40.03199999999999,85.55199999999991,85.55199999999991,56.72699999999994,40.03199999999999
7,74.39400000000005,37.64099999999996,102.03999999999971,100.47599999999957,70.70099999999996,43.216000000000065
7,89.67099999999968,24.838999999999984,107.96499999999965,108.63199999999959,80.93899999999981,39.73299999999992
7,99.27299999999954,18.266999999999957,112.45699999999965,117.52499999999975,100.22399999999969,22.90599999999999
8,45.63299999999985,58.63499999999996,95.24299999999971,95.24299999999971,45.63299999999985,58.63499999999996
8,67.81600000000003,55.12099999999992,116.3479999999998,116.3479999999998,67.81600000000003,55.12099999999992
8,79.06199999999988,45.310999999999915,118.38199999999979,124.81000000000004,76.45099999999995,54.04599999999996
8,89.90399999999956,43.31599999999987,127.90300000000005,128.15300000000005,76.56299999999986,61.158
