Seed,ありの解,ありの解2,ありをなし,なしの解,なしの解をアリ,なしの解をアリ2
0,5.03399999999996,3.303999999999952,5.98799999999995,5.683999999999962,4.68499999999996,3.344999999999956
0,8.254999999999958,2.982999999999955,9.31999999999993,9.31999999999993,8.254999999999958,2.982999999999955
0,10.537999999999938,2.7109999999999563,11.753999999999921,11.753999999999921,10.537999999999938,2.7109999999999563
0,11.527999999999922,2.5859999999999603,12.721999999999923,13.440999999999947,12.09199999999994,2.598999999999957
1,5.7929999999999415,10.14399999999995,9.42099999999996,9.42099999999996,5.7929999999999415,10.14399999999995
1,9.834999999999955,7.875999999999949,13.894999999999955,13.894999999999955,9.834999999999955,7.875999999999949
1,12.038999999999923,6.923999999999954,15.964999999999986,15.964999999999986,12.038999999999923,6.923999999999954
1,13.256999999999932,6.397999999999958,17.016999999999975,17.23999999999997,13.265999999999936,6.3519999999999515
2,7.168999999999958,5.2519999999999545,9.566999999999934,9.566999999999934,7.168999999999958,5.2519999999999545
2,10.949999999999934,4.507999999999963,13.771999999999936,13.771999999999936,10.949999999999934,4.507999999999963
2,12.646999999999903,4.218999999999961,15.337999999999978,15.644999999999994,12.860999999999942,4.1469999999999585
2,14.60399999999997,3.7169999999999592,17.098999999999993,17.055999999999983,14.505999999999965,3.831999999999958
3,6.290999999999953,2.4469999999999548,7.281999999999948,7.281999999999948,6.290999999999953,2.4469999999999548
3,8.924999999999955,2.122999999999963,9.893999999999942,10.387999999999927,9.145999999999944,2.234999999999958
3,11.16899999999994,2.10799999999996,12.39099999999993,12.494999999999933,11.421999999999924,1.9629999999999654
3,13.267999999999926,1.9149999999999678,14.400999999999947,14.323999999999943,12.9789999999999,1.957999999999966
4,5.826999999999948,4.80099999999995,7.396999999999952,7.396999999999952,5.826999999999948,4.80099999999995
4,9.343999999999955,4.379999999999961,11.268999999999926,11.268999999999926,9.343999999999955,4.379999999999961
4,11.536999999999914,4.033999999999958,13.544999999999938,13.544999999999938,11.536999999999914,4.033999999999958
4,13.23499999999995,3.71599999999996,15.444999999999975,15.444999999999975,13.23499999999995,3.71599999999996
5,5.751999999999944,5.38399999999995,7.10799999999995,7.10799999999995,5.751999999999944,5.38399999999995
5,8.500999999999966,4.737999999999958,10.370999999999935,10.370999999999935,8.500999999999966,4.737999999999958
5,10.788999999999929,4.187999999999959,12.436999999999918,12.436999999999918,10.788999999999929,4.187999999999959
5,11.97199999999991,3.8959999999999533,13.694999999999926,13.84599999999994,12.059999999999933,4.101999999999961
6,5.440999999999954,2.4979999999999523,6.515999999999947,6.515999999999947,5.440999999999954,2.4979999999999523
6,8.847999999999953,2.300999999999957,10.301999999999945,10.251999999999938,8.928999999999956,2.2599999999999585
6,11.518999999999942,2.130999999999958,12.811999999999928,12.739999999999927,11.405999999999933,2.0499999999999634
6,13.42399999999995,1.941999999999967,14.88099999999998,14.88099999999998,13.42399999999995,1.941999999999967
7,7.606999999999957,4.305999999999952,9.047999999999956,9.047999999999956,7.606999999999957,4.305999999999952
7,10.584999999999942,3.508999999999948,12.407999999999932,13.114999999999938,10.996999999999947,3.6709999999999483
7,13.463999999999938,3.13599999999995,15.381999999999993,15.381999999999993,13.463999999999938,3.13599999999995
7,15.027999999999983,2.8909999999999556,16.801999999999975,16.706999999999965,14.753999999999962,3.057999999999952
8,6.15899999999996,5.69699999999996,8.141999999999951,8.141999999999951,6.15899999999996,5.69699999999996
8,9.79199999999992,4.95799999999995,12.229999999999947,12.229999999999947,9.79199999999992,4.95799999999995
8,11.605999999999918,4.729999999999954,14.249999999999961,13.965999999999946,11.487999999999934,4.5989999999999585
8,13.135999999999944,4.284999999999958,15.735999999999986,15.735999999999986,13.135999999999944,4.284999999999958
