Seed,ありの解,ありの解2,ありをなし,なしの解,なしの解をアリ,なしの解をアリ2
0,13.407999999999948,24.866999999999912,21.54799999999993,21.54799999999993,13.407999999999948,24.866999999999912
0,20.72599999999993,23.260999999999935,30.532999999999944,30.532999999999944,20.72599999999993,23.260999999999935
0,27.52499999999993,22.532999999999905,37.997999999999976,37.997999999999976,27.52499999999993,22.532999999999905
0,33.45999999999998,20.728999999999925,43.712999999999795,43.712999999999795,33.45999999999998,20.728999999999925
1,10.82799999999995,26.14699999999994,16.675999999999945,15.809999999999944,10.027999999999945,25.600999999999935
1,19.066999999999936,23.95399999999991,29.156999999999954,27.64999999999992,18.959999999999976,24.032999999999927
1,26.669999999999924,22.823999999999934,37.382999999999974,37.382999999999974,26.669999999999924,22.823999999999934
1,32.59999999999999,21.071999999999914,43.557999999999886,43.557999999999886,32.59999999999999,21.071999999999914
2,12.973999999999956,15.66799999999995,16.74299999999996,16.74299999999996,12.973999999999956,15.66799999999995
2,23.266999999999918,14.618999999999959,28.799999999999926,28.799999999999926,23.266999999999918,14.618999999999959
2,31.142999999999947,14.01399999999995,37.31599999999999,37.31599999999999,31.142999999999947,14.01399999999995
2,37.62500000000001,13.297999999999945,44.15999999999981,43.71399999999992,37.002999999999965,13.305999999999942
3,16.102999999999952,6.122999999999958,20.760999999999942,20.760999999999942,16.102999999999952,6.122999999999958
3,25.3509999999999,5.787999999999956,31.49499999999994,31.49499999999994,25.3509999999999,5.787999999999956
3,32.970999999999975,5.301999999999962,38.96099999999989,39.132999999999974,32.88800000000003,5.623999999999961
3,38.996999999999964,4.9529999999999506,45.20899999999984,43.78499999999986,37.75099999999996,5.083999999999956
4,8.599999999999957,10.900999999999941,11.519999999999948,11.519999999999948,8.599999999999957,10.900999999999941
4,14.872999999999934,10.455999999999968,17.843999999999955,18.094999999999967,15.328999999999933,9.777999999999949
4,22.1799999999999,8.672999999999965,25.44799999999994,26.127999999999926,21.948999999999923,8.532999999999966
4,26.832999999999906,8.065999999999951,30.405999999999967,30.450999999999944,26.905999999999914,7.94899999999995
5,18.831999999999972,8.132999999999962,21.54199999999996,21.54199999999996,18.831999999999972,8.132999999999962
5,29.409999999999933,6.070999999999957,32.26399999999994,32.26399999999994,29.409999999999933,6.070999999999957
5,35.69299999999991,5.83499999999996,38.73099999999993,38.41199999999995,35.61,5.591999999999965
5,40.90799999999985,5.240999999999961,43.86899999999981,44.559999999999846,41.262999999999906,5.245999999999957
6,12.250999999999946,11.534999999999963,14.469999999999942,14.469999999999942,12.250999999999946,11.534999999999963
6,21.134999999999906,10.36599999999998,23.881999999999906,23.881999999999906,21.134999999999906,10.36599999999998
6,27.835999999999917,9.481999999999957,31.536999999999978,31.536999999999978,27.835999999999917,9.481999999999957
6,33.681999999999974,8.89699999999997,37.422999999999924,37.422999999999924,33.681999999999974,8.89699999999997
7,14.679999999999959,27.590999999999976,20.20899999999997,20.20899999999997,14.679999999999959,27.590999999999976
7,21.824999999999914,25.406999999999925,28.888999999999943,28.888999999999943,21.824999999999914,25.406999999999925
7,27.89799999999991,22.593999999999895,35.34799999999995,35.34799999999995,27.89799999999991,22.593999999999895
7,32.562,21.602999999999906,41.33199999999989,41.33199999999989,32.562,21.602999999999906
8,11.552999999999939,10.027999999999968,13.593999999999971,13.593999999999971,11.552999999999939,10.027999999999968
8,19.592999999999947,8.831999999999942,22.55699999999995,22.55699999999995,19.592999999999947,8.831999999999942
8,24.324999999999907,8.212999999999951,28.19199999999994,28.332999999999924,25.06699999999994,8.703999999999956
8,29.041999999999934,8.220999999999963,32.82000000000001,33.80100000000002,30.210999999999927,8.073999999999957
