Seed,ありの解,ありの解2,ありをなし,なしの解,なしの解をアリ,なしの解をアリ2
0,71.89600000000007,30.257999999999974,101.86299999999945,101.29899999999971,59.61400000000011,44.57100000000001
0,123.05799999999972,26.204000000000008,150.01500000000027,151.09500000000023,119.60999999999983,30.151999999999962
0,136.64900000000023,26.922,165.36200000000028,166.19300000000047,135.3790000000002,29.66299999999994
0,150.21500000000023,18.392999999999965,170.2820000000004,174.52600000000055,142.94400000000002,30.14399999999997
1,70.29,46.882999999999974,98.6129999999996,97.04699999999966,61.343999999999966,56.574000000000034
1,112.38199999999976,41.94400000000002,139.36500000000032,139.95400000000024,105.87399999999978,50.99499999999993
1,135.54600000000025,27.812999999999978,154.87400000000028,155.99700000000044,124.24300000000007,48.058000000000064
1,146.30600000000015,26.80599999999998,164.1660000000003,167.25200000000046,147.43900000000036,30.16199999999999
2,61.02999999999991,96.66599999999964,71.60400000000006,94.37399999999982,34.33199999999993,88.71799999999969
2,100.54299999999957,57.962999999999994,146.49400000000014,144.007,95.08099999999985,62.23499999999994
2,115.99799999999985,45.61699999999985,151.79000000000048,159.70299999999997,112.20199999999974,60.45099999999999
2,130.65499999999997,43.25599999999988,165.8370000000004,168.5890000000004,121.93899999999988,58.740000000000016
3,57.82799999999991,102.96599999999961,78.9870000000002,99.27999999999967,29.03499999999995,92.61899999999966
3,83.76599999999989,78.45899999999989,145.6390000000002,145.43600000000032,76.78799999999987,85.86899999999982
3,100.24999999999946,75.91700000000004,160.7030000000003,158.97900000000027,91.54399999999973,85.15599999999975
3,116.69899999999973,63.00900000000005,167.0790000000003,168.12900000000002,100.9509999999996,84.4769999999999
4,60.56199999999988,100.19999999999959,73.39600000000009,97.77599999999993,33.031,90.34499999999971
4,101.9989999999996,59.158000000000015,153.2610000000003,148.3740000000003,82.16599999999994,77.85899999999994
4,120.39999999999972,44.89699999999991,159.49900000000014,166.38300000000035,100.73399999999961,75.91600000000003
4,135.56500000000025,43.972999999999935,173.2710000000005,175.1270000000006,110.36499999999963,74.40600000000005
5,72.18199999999999,34.73999999999997,99.67999999999955,98.09399999999975,66.23599999999999,39.581
5,110.71599999999977,31.789999999999957,135.9450000000002,139.6760000000003,112.31399999999971,35.98499999999997
5,127.75500000000004,22.931999999999977,145.86700000000036,153.4580000000002,126.70700000000005,33.95099999999996
5,140.61300000000034,22.03,158.50200000000004,162.00300000000004,136.4080000000002,33.477999999999966
6,59.814999999999856,45.15999999999997,100.46899999999978,98.45599999999963,44.68499999999997,64.765
6,109.67599999999965,39.22499999999997,145.77900000000022,147.77600000000024,109.53199999999983,41.73399999999997
6,126.27200000000018,29.154999999999976,152.32400000000047,163.55900000000003,126.8139999999999,39.40699999999999
6,142.41700000000054,28.721999999999984,168.67000000000053,172.8080000000004,135.84400000000016,40.08999999999998
7,73.31499999999988,38.565999999999946,101.03499999999967,97.39899999999965,59.17999999999994,59.05000000000007
7,115.62899999999969,32.963999999999956,139.38700000000046,137.87200000000036,104.31999999999972,49.11700000000007
7,135.33500000000018,23.912999999999975,153.04800000000031,151.98500000000018,118.9149999999999,47.73999999999995
7,149.2650000000004,20.13199999999998,164.53800000000015,163.01700000000014,131.80500000000004,44.56099999999999
8,62.385,89.72499999999972,76.68299999999994,99.02699999999969,36.80999999999994,76.5209999999999
8,103.94199999999962,53.36299999999991,150.94599999999983,151.94199999999998,100.44299999999969,59.02700000000002
8,119.15399999999994,41.14299999999987,154.102,168.03000000000029,118.90399999999977,56.05199999999989
8,137.40800000000027,40.9129999999999,172.44200000000006,175.7690000000004,126.77400000000016,56.104999999999954
