Seed,Ç†ÇËÇÃâ,Ç†ÇËÇÃâ2,Ç†ÇËÇÇ»Çµ,Ç»ÇµÇÃâ,Ç»ÇµÇÃâÇÉAÉä,Ç»ÇµÇÃâÇÉAÉä2,,Ç†ÇËÇÃóDà ê´,äÑçá,,ç≈ëÂ,0.00%
0,42.961,52.444,79.012,80.745,44.432,55.263,,,,,,
0,62.044,41.315,88.011,88.72,61.403,42.969,,,,,,
0,71.551,35.022,93.168,93.648,71.632,36.194,,,,,,
0,78.378,32.149,97.672,97.672,78.378,32.149,,,,,,
1,32.415,47.018,50.119,50.119,32.415,47.018,,,,,,
1,47.107,35.768,62.069,62.069,47.107,35.768,,,,,,
1,53.978,30.81,67.221,67.669,55.376,29.646,,,,,,
1,60.752,26.424,71.947,71.947,60.752,26.424,,,,,,
2,41.663,51.7,76.627,76.627,41.663,51.7,,,,,,
2,56.835,41.399,82.986,82.953,55.693,42.756,,,,,,
2,65.193,36.762,87.523,87.137,63.748,37.216,,,,,,
2,70.639,33.842,90.494,90.382,71.036,33.438,,,,,,
3,40.12,57.297,70.232,70.232,40.12,57.297,,,,,,
3,56.69,43.883,80.531,80.531,56.69,43.883,,,,,,
3,63.671,39.203,83.936,82.839,62.093,39.311,,,,,,
3,67.316,36.554,86.227,87.146,69.422,34.965,,,,,,
4,34.364,36.992,48.506,49.128,35.033,35.647,,,,,,
4,49.323,24.949,59.407,59.407,49.323,24.949,,,,,,
4,56.974,19.792,65.614,64.99,56.677,19.992,,,,,,
4,62.747,17.295,69.73,69.73,62.747,17.295,,,,,,
5,52.682,27.652,66.9,66.9,52.682,27.652,,,,,,
5,63.236,19.748,73.661,72.289,60.512,22.368,,,,,,
5,69.554,15.918,77.762,76.926,68.618,17.299,,,,,,
5,74.527,14.245,81.643,81.643,74.527,14.245,,,,,,
6,52.471,35.04,77.21,78.317,52.611,37.771,,,,,,
6,68.774,26.186,85.736,85.736,68.774,26.186,,,,,,
6,75.713,22.978,89.707,89.707,75.713,22.978,,,,,,
6,80.894,20.363,92.987,92.987,80.894,20.363,,,,,,
7,39.195,57.881,72.991,72.991,39.195,57.881,,,,,,
7,52.705,46.961,80.067,80.067,52.705,46.961,,,,,,
7,60.922,40.591,83.842,84.367,61.227,41.326,,,,,,
7,67.046,37.24,87.49,86.178,65.247,37.25,,,,,,
8,53.002,36.763,76.981,76.981,53.002,36.763,,,,,,
8,68.858,26.247,85.228,85.228,68.858,26.247,,,,,,
8,76.339,23.03,89.558,89.558,76.339,23.03,,,,,,
8,80.627,20.775,92.572,92.711,81.313,20.202,,,,,,
