Seed,Ç†ÇËÇÃâ,Ç†ÇËÇÃâ2,Ç†ÇËÇÇ»Çµ,Ç»ÇµÇÃâ,Ç»ÇµÇÃâÇÉAÉä,Ç»ÇµÇÃâÇÉAÉä2,,Ç†ÇËÇÃóDà ê´,äÑçá,,ç≈ëÂ,0.00%
0,68.003,12.554,79.012,80.745,69.129,15.078,,,,,,
0,81.128,8.738,88.011,88.72,80.377,10.373,,,,,,
0,88.179,6.794,93.648,93.648,88.179,6.794,,,,,,
0,93.343,5.969,97.672,97.672,93.343,5.969,,,,,,
1,54.854,10.316,59.62,59.62,54.854,10.316,,,,,,
1,69.242,6,72.85,72.85,69.242,6,,,,,,
1,74.676,5.157,77.952,79.404,76.394,5.057,,,,,,
1,81.199,3.906,82.956,82.956,81.199,3.906,,,,,,
2,75.219,8.078,81.882,81.882,75.219,8.078,,,,,,
2,88.099,4.247,91.416,91.416,88.099,4.247,,,,,,
2,93.158,3.493,95.99,95.541,92.92,3.341,,,,,,
2,96.722,3.048,99.059,99.352,96.588,2.85,,,,,,
3,50.858,29.608,70.232,71.101,43.593,44.609,,,,,,
3,68.354,24.371,84.946,85.702,70.476,22.247,,,,,,
3,82.844,14.493,93.3,93.3,82.844,14.493,,,,,,
3,87.128,11.907,95.494,96.157,86.586,13.359,,,,,,
4,39.027,22.34,49.128,49.128,39.027,22.34,,,,,,
4,51.255,15.06,59.407,59.407,51.255,15.06,,,,,,
4,57.893,12.313,64.933,64.99,58.597,12.373,,,,,,
4,63.925,10.338,69.73,71.687,64.897,11.806,,,,,,
5,74.56,18.645,87.334,87.334,74.56,18.645,,,,,,
5,86.003,12.573,94.774,94.774,86.003,12.573,,,,,,
5,91.117,9.613,97.69,97.777,90.7,10.104,,,,,,
5,94.73,8.549,100.395,100.395,94.73,8.549,,,,,,
6,69.176,9.117,77.21,78.317,70.178,9.792,,,,,,
6,80.069,6.538,85.736,85.736,80.069,6.538,,,,,,
6,84.952,5.638,89.662,92.097,86.809,6.221,,,,,,
6,92.693,5.053,96.294,96.294,92.693,5.053,,,,,,
7,55.046,23.304,72.991,78.866,53.7,31.236,,,,,,
7,74.686,17.044,88.611,88.611,74.686,17.044,,,,,,
7,82.376,13.164,93.18,93.18,82.376,13.164,,,,,,
7,88.603,10.549,96.759,96.759,88.603,10.549,,,,,,
8,66.571,13.5,76.981,81.512,64.231,19.541,,,,,,
8,80.047,11.384,89.915,92.178,83.832,10.407,,,,,,
8,90.67,8.118,97.285,97.156,91.019,8.164,,,,,,
8,96.048,7.062,101.484,101.484,96.048,7.062,,,,,,
