Seed,Ç†ÇËÇÃâ,Ç†ÇËÇÃâ2,Ç†ÇËÇÇ»Çµ,Ç»ÇµÇÃâ,Ç»ÇµÇÃâÇÉAÉä,Ç»ÇµÇÃâÇÉAÉä2,,Ç†ÇËÇÃóDà ê´,äÑçá,,ç≈ëÂ,0.00%
0,58.959,51.09,93.631,90.144,53.075,52.213,,,,,,
0,81.755,36.135,105.52,107.468,75.369,44.394,,,,,,
0,94.708,30.384,114.428,115.688,91.661,34.943,,,,,,
0,104.028,26.934,122.174,122.577,103.381,28.819,,,,,,
1,62.601,38.12,78.494,79.116,63.653,37.785,,,,,,
1,89.26,24.819,100.14,101.163,88,27.759,,,,,,
1,104.044,18.655,113.805,113.386,102.973,20.762,,,,,,
1,114.502,14.479,122.045,123.216,115.14,15.715,,,,,,
2,54.142,47.971,87.746,86.626,52.72,51.295,,,,,,
2,75.398,36.899,99.422,104.537,73.95,44.44,,,,,,
2,90.535,32.819,112.934,113.294,90.884,32.77,,,,,,
2,100.99,28.36,119.721,119.663,100.981,28.311,,,,,,
3,59.749,50.897,87.05,82.118,53.187,54.541,,,,,,
3,86.204,34.983,105.726,101.823,74.734,49.988,,,,,,
3,98.04,31.282,115.55,115.526,96.399,33.609,,,,,,
3,106.994,25.926,121.858,123.819,107.978,26.95,,,,,,
4,62.354,28.361,74.577,75.547,63.992,29.173,,,,,,
4,87.189,19.689,96.626,98.479,89.165,19.697,,,,,,
4,101.418,13.278,108.066,111.463,103.568,15.537,,,,,,
4,111.246,10.725,117.079,120.181,114.032,11.081,,,,,,
5,71.8,23.724,84.491,81.784,69.722,23.626,,,,,,
5,88.511,17.327,97.813,100.623,91.583,17.179,,,,,,
5,102.413,14.097,110.706,112.495,104.763,13.941,,,,,,
5,111.98,11.642,118.708,121.575,114.418,11.636,,,,,,
6,65.067,32.783,88.533,86.353,61.582,35.169,,,,,,
6,85.476,23.882,101.978,102.217,83.282,27.699,,,,,,
6,100.743,21.503,115.32,113.326,96.741,23.99,,,,,,
6,108.452,17.277,120.224,120.847,108.952,18.047,,,,,,
7,55.992,53.329,88.698,82.945,49.749,55.094,,,,,,
7,78.509,40.603,103.055,98.434,71.416,44.888,,,,,,
7,90.733,33.697,110.54,111.368,87.292,38.359,,,,,,
7,99.536,29.428,117.856,116.95,97.086,32.02,,,,,,
8,66.96,33.175,88.362,86.373,63.879,34.51,,,,,,
8,89.553,23.053,104.609,104.452,82.693,31.055,,,,,,
8,100.995,19.041,112.466,114.348,100.21,21.713,,,,,,
8,109.574,16.999,120.318,121.34,110.671,17.047,,,,,,
