Seed,Ç†ÇËÇÃâ,Ç†ÇËÇÃâ2,Ç†ÇËÇÇ»Çµ,Ç»ÇµÇÃâ,Ç»ÇµÇÃâÇÉAÉä,Ç»ÇµÇÃâÇÉAÉä2,,Ç†ÇËÇÃóDà ê´,äÑçá,,ç≈ëÂ,0.00%
0,61.181,21.202,77.453,77.453,61.181,21.202,,,,,,
0,74.252,14.634,85.134,87.331,73.301,18.099,,,,,,
0,82.406,13.47,92.545,92.545,82.406,13.47,,,,,,
0,88.907,11.091,97.215,97.918,89.026,12.064,,,,,,
1,45.223,25.809,55.056,55.056,45.223,25.809,,,,,,
1,55.108,21.766,65.268,66.791,57.97,18.463,,,,,,
1,66.282,14.814,73.8,73.8,66.282,14.814,,,,,,
1,71.774,13.135,78.894,78.979,72.353,12.726,,,,,,
2,66.028,22.571,80.215,80.215,66.028,22.571,,,,,,
2,79.937,13.248,88.468,88.468,79.937,13.248,,,,,,
2,84.471,12.314,91.957,92.308,84.064,12.061,,,,,,
2,90.718,10.027,97.44,97.108,89.525,10.212,,,,,,
3,67.631,30.465,85.759,85.759,67.631,30.465,,,,,,
3,78.741,22.106,92.616,91.118,74.585,27.406,,,,,,
3,85.109,19.764,97.689,97.689,85.109,19.764,,,,,,
3,89.33,18.445,100.641,101.479,90.3,17.918,,,,,,
4,45.589,41.863,64.657,64.657,45.589,41.863,,,,,,
4,54.768,34.119,71.322,72.818,57.049,33.207,,,,,,
4,64.119,28.005,78.492,78.492,64.119,28.005,,,,,,
4,70.477,23.542,82.384,81.016,67.528,26.13,,,,,,
5,73.437,32.567,99.303,99.303,73.437,32.567,,,,,,
5,83.927,24.779,103.777,103.777,83.927,24.779,,,,,,
5,92.029,20.536,107.798,107.05,89.904,21.798,,,,,,
5,96.237,18.876,110.519,110.452,96.118,18.815,,,,,,
6,89.408,13.217,100.138,100.138,89.408,13.217,,,,,,
6,97.941,9.337,104.272,103.554,96.188,9.802,,,,,,
6,101.91,8.408,107.224,107.247,99.369,9.635,,,,,,
6,105.553,7.57,111.137,111.416,105.165,7.574,,,,,,
7,59.8,16.278,67.67,70.182,59.927,16.287,,,,,,
7,74.066,12.561,81.515,81.515,74.066,12.561,,,,,,
7,82.294,10.527,88.679,89.332,82.95,8.699,,,,,,
7,89.348,7.656,94.593,94.593,89.348,7.656,,,,,,
8,65.393,22.668,81.234,81.234,65.393,22.668,,,,,,
8,83.723,12.629,92.051,92.051,83.723,12.629,,,,,,
8,92.62,10.747,99.778,99.778,92.62,10.747,,,,,,
8,97.667,9.085,104.417,104.417,97.667,9.085,,,,,,
