Seed,Ç†ÇËÇÃâ,Ç†ÇËÇÃâ2,Ç†ÇËÇÇ»Çµ,Ç»ÇµÇÃâ,Ç»ÇµÇÃâÇÉAÉä,Ç»ÇµÇÃâÇÉAÉä2,,Ç†ÇËÇÃóDà ê´,äÑçá,,ç≈ëÂ,0.00%
0,71,19.994,86.754,87.666,71.51,20.274,,,,,,
0,87.735,15.437,99.274,101.135,88.827,15.673,,,,,,
0,100.743,11.626,109.714,113.149,100.557,14.388,,,,,,
0,110.829,10.443,119.704,120.101,108.385,13.525,,,,,,
1,64.487,20.971,74.852,73.315,61.881,25.899,,,,,,
1,85.019,13.979,92.851,94.028,84.096,17.272,,,,,,
1,101.399,10.844,107.776,110.256,102.818,13.146,,,,,,
1,113.627,9.472,119.445,121.046,114.57,10.391,,,,,,
2,73.068,21.017,86.537,86.879,73.434,20.691,,,,,,
2,93.018,11.816,100.602,100.264,90.763,13.895,,,,,,
2,102.32,9.337,108.804,110.945,101.91,11.862,,,,,,
2,110.921,8.29,116.844,119.673,111.82,10.192,,,,,,
3,74.948,29.479,92.712,91.639,74.396,29.059,,,,,,
3,92.427,20.806,105.495,106.863,91.825,24.54,,,,,,
3,105.766,17.003,116.903,119.185,106.297,19.745,,,,,,
3,116.961,13.988,125.792,128.383,116.898,16.678,,,,,,
4,61.066,37.672,79.969,75.402,57.364,37.376,,,,,,
4,85.246,25.494,99.2,100.125,85.993,25.251,,,,,,
4,101.888,18.254,113.242,116.069,102.753,21.861,,,,,,
4,117.025,14.284,126.01,127.066,115.988,17.98,,,,,,
5,75.274,32.356,100.461,100.461,75.274,32.356,,,,,,
5,92.258,23.648,110.732,112.669,88.986,30.084,,,,,,
5,103.341,17.468,116.835,120.767,103.291,22.325,,,,,,
5,111.549,15.721,123.509,126.767,110.758,19.463,,,,,,
6,89.408,13.217,100.138,100.138,89.408,13.217,,,,,,
6,104.453,11.305,113.42,114.637,105.739,11.092,,,,,,
6,115.39,7.963,121.501,122.961,114.752,9.982,,,,,,
6,121.267,7.004,126.33,130.084,123.048,8.875,,,,,,
7,72.367,14.753,82.48,81.139,71.816,14.604,,,,,,
7,90.239,8.367,96.217,98.692,90.7,11.497,,,,,,
7,103.961,7.466,109.127,110.014,102.799,9.14,,,,,,
7,114.668,7.178,119.291,118.555,113.24,7.938,,,,,,
8,72.873,16.838,84.511,88.088,71.857,22.726,,,,,,
8,96.507,11.812,104.769,105.344,96.909,11.464,,,,,,
8,106.921,9.427,113.968,115.626,107.218,10.813,,,,,,
8,117.568,8.899,123.841,123.581,117.093,9.119,,,,,,
