Seed,Ç†ÇËÇÃâ,Ç†ÇËÇÃâ2,Ç†ÇËÇÇ»Çµ,Ç»ÇµÇÃâ,Ç»ÇµÇÃâÇÉAÉä,Ç»ÇµÇÃâÇÉAÉä2,,Ç†ÇËÇÃóDà ê´,äÑçá,,ç≈ëÂ,0.00%
0,55.579,38.816,83.953,87.666,59.7,38.036,,,,,,
0,78.864,29.128,98.349,101.135,76.641,33.009,,,,,,
0,93.244,25.459,110.839,111.428,89.576,29.175,,,,,,
0,102.068,20.854,116.497,118.858,101.44,24.506,,,,,,
1,40.698,82.828,73.747,73.315,37.141,88.077,,,,,,
1,64.864,69.156,96.184,94.028,59.407,71.043,,,,,,
1,81.998,59.991,110.21,109.267,78.586,60.496,,,,,,
1,94.605,50.727,120.416,120.507,93.158,52.181,,,,,,
2,44.224,66.258,80.002,78.541,38.229,71.168,,,,,,
2,63.649,51.145,92.908,94.976,60.497,57.592,,,,,,
2,78.902,45.05,105.861,104.516,73.819,50.547,,,,,,
2,88.656,39.594,113.074,115.179,89.637,41.143,,,,,,
3,37.582,84.562,75.995,74.809,36.653,85.03,,,,,,
3,59.964,71.296,96.37,95.137,58.517,68.533,,,,,,
3,78.815,57.173,111.179,108.775,75.004,60.895,,,,,,
3,91.646,49.418,121.057,120.53,89.65,53.371,,,,,,
4,45.661,70.1,71.346,69.45,43.994,66.918,,,,,,
4,71.478,53.232,94.147,94.507,70.012,53.77,,,,,,
4,90.395,41.391,109.599,109.84,88.784,43.222,,,,,,
4,104.284,34.789,121.7,122.896,104.339,35.65,,,,,,
5,61.832,31.133,85.909,85.909,61.832,31.133,,,,,,
5,79.143,20.78,96.225,98.494,78.027,24.896,,,,,,
5,92.234,18.516,107.431,108.019,91.641,19.835,,,,,,
5,100.939,16.162,114.181,115.446,99.42,18.25,,,,,,
6,34.772,80.92,86.464,85.609,30.342,85.812,,,,,,
6,54.407,67.79,99.064,98.141,46.598,79.079,,,,,,
6,67.762,63.758,110.429,108.761,60.281,72.916,,,,,,
6,78.782,56.042,116.334,119.232,76.851,61.896,,,,,,
7,45.426,62.26,81.011,81.139,44.334,61.639,,,,,,
7,69.35,46.399,96.576,98.237,65.261,52.779,,,,,,
7,84.596,39.2,108.156,110.084,85.134,41.729,,,,,,
7,96.615,35.522,117.888,117.547,93.976,38.814,,,,,,
8,54.597,46.651,83.652,84.27,54.774,45.504,,,,,,
8,80.894,31.896,102.342,102.928,80.977,32.651,,,,,,
8,94.324,26.546,112.34,113.064,94.755,27.644,,,,,,
8,104.268,22.449,120.078,121.305,103.589,25.225,,,,,,
